person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
23,male,bachelor,75702.0,1,rent,10000.0,education,13.49,0.13,4.0,671,yes,0
23,female,high school,90963.0,0,mortgage,10200.0,personal,6.03,0.11,2.0,617,yes,0
23,male,high school,75353.0,1,rent,10000.0,medical,14.27,0.13,3.0,654,yes,0
26,male,master,68351.0,2,rent,10000.0,homeimprovement,12.69,0.15,2.0,634,no,1
26,female,bachelor,90650.0,6,mortgage,6500.0,debtconsolidation,8.9,0.07,4.0,650,yes,0
22,female,high school,83639.0,3,mortgage,15000.0,personal,10.65,0.18,4.0,674,no,1
26,male,master,90978.0,2,mortgage,10000.0,personal,13.49,0.11,4.0,667,yes,0
22,female,high school,53035.0,3,rent,4000.0,education,11.11,0.08,2.0,603,no,0
23,male,bachelor,90836.0,0,own,5000.0,education,14.65,0.06,4.0,620,yes,0
24,female,bachelor,53926.0,3,rent,4000.0,education,8.7,0.07,2.0,657,yes,0
23,female,associate,90889.0,4,mortgage,12000.0,venture,9.91,0.13,2.0,650,no,0
24,female,bachelor,90850.0,2,mortgage,11125.0,personal,13.49,0.12,4.0,522,yes,0
25,female,high school,91133.0,0,mortgage,8000.0,venture,16.29,0.09,3.0,676,no,0
22,female,associate,54436.0,1,rent,4000.0,education,13.99,0.07,3.0,679,yes,0
22,female,bachelor,54698.0,1,rent,4000.0,personal,7.9,0.07,2.0,681,no,0
24,male,bachelor,91159.0,3,mortgage,15600.0,venture,11.01,0.17,4.0,654,yes,0
21,male,high school,54974.0,0,rent,4000.0,medical,7.9,0.07,3.0,599,no,0
25,male,high school,90974.0,3,mortgage,24000.0,venture,9.91,0.26,2.0,640,yes,0
22,male,bachelor,91119.0,1,mortgage,14950.0,education,9.91,0.16,4.0,568,yes,0
24,female,associate,91196.0,5,mortgage,16000.0,venture,12.42,0.18,2.0,684,yes,0
22,female,high school,91281.0,3,mortgage,15000.0,medical,14.27,0.16,2.0,659,yes,0
24,male,bachelor,47649.0,3,rent,4000.0,debtconsolidation,11.01,0.08,4.0,663,no,1
25,female,bachelor,90816.0,4,mortgage,7200.0,homeimprovement,11.01,0.08,4.0,624,yes,0
21,male,high school,54748.0,0,rent,4000.0,venture,12.87,0.07,2.0,621,no,0
25,female,associate,54979.0,3,rent,4000.0,medical,13.8,0.07,4.0,651,yes,0
22,male,bachelor,54911.0,1,rent,4000.0,education,12.98,0.07,3.0,627,no,0
26,male,high school,84080.0,0,mortgage,14400.0,personal,10.65,0.17,3.0,577,no,1
23,male,bachelor,54936.0,1,rent,4000.0,venture,16.32,0.07,2.0,602,yes,0
24,female,bachelor,91232.0,0,mortgage,7000.0,debtconsolidation,7.9,0.08,4.0,675,yes,0
24,female,bachelor,54931.0,1,rent,4000.0,personal,13.23,0.07,3.0,680,yes,0
23,male,high school,90990.0,0,mortgage,14400.0,venture,6.03,0.16,4.0,670,yes,0
23,female,associate,91064.0,1,mortgage,14000.0,medical,10.65,0.15,3.0,674,yes,0
23,male,high school,54868.0,1,rent,4000.0,education,14.96,0.07,4.0,688,yes,0
25,female,bachelor,47902.0,4,rent,4000.0,homeimprovement,17.74,0.08,2.0,654,no,1
24,male,master,90992.0,2,mortgage,8000.0,education,16.29,0.09,4.0,606,no,0
26,female,bachelor,90991.0,6,own,9250.0,medical,12.69,0.1,4.0,545,yes,0
24,male,high school,55127.0,4,rent,4000.0,medical,11.83,0.07,2.0,620,yes,0
23,male,associate,91013.0,1,own,21000.0,personal,12.42,0.23,2.0,655,yes,0
21,male,master,55096.0,1,rent,4000.0,education,11.01,0.07,3.0,667,no,0
22,female,bachelor,54817.0,4,rent,4000.0,debtconsolidation,11.01,0.07,4.0,709,no,0
25,female,bachelor,90869.0,3,mortgage,12000.0,homeimprovement,13.49,0.13,4.0,523,yes,0
26,female,associate,54806.0,4,rent,4000.0,debtconsolidation,12.21,0.07,3.0,577,yes,0
24,male,bachelor,90929.0,4,mortgage,15000.0,homeimprovement,6.03,0.16,2.0,611,yes,0
23,male,bachelor,90980.0,2,mortgage,12000.0,venture,7.51,0.13,3.0,684,yes,0
22,female,master,90905.0,0,mortgage,14825.0,education,12.69,0.16,3.0,663,yes,0
24,male,high school,75426.0,2,rent,10000.0,homeimprovement,13.49,0.13,3.0,575,yes,0
22,female,bachelor,91039.0,0,mortgage,8150.0,medical,7.51,0.09,4.0,615,yes,0
23,female,associate,75438.0,0,rent,10000.0,debtconsolidation,8.94,0.13,2.0,683,no,0
23,female,master,90767.0,3,mortgage,16100.0,education,7.9,0.18,3.0,712,yes,0
22,male,bachelor,75032.0,0,rent,10000.0,debtconsolidation,11.01,0.13,4.0,631,no,0
22,male,master,84064.0,0,mortgage,17000.0,education,15.27,0.2,3.0,687,no,1
26,male,associate,75400.0,4,rent,10000.0,debtconsolidation,11.26,0.13,2.0,540,yes,0
24,male,bachelor,91042.0,3,mortgage,16000.0,venture,6.62,0.18,2.0,674,yes,0
22,female,associate,76049.0,1,rent,10000.0,education,11.01,0.13,2.0,661,yes,0
22,female,master,75890.0,1,rent,10000.0,education,10.99,0.13,2.0,670,no,0
25,female,high school,75978.0,2,rent,10000.0,education,8.94,0.13,2.0,641,yes,0
23,female,associate,90945.0,1,mortgage,5000.0,education,6.03,0.05,4.0,648,yes,0
23,female,associate,75993.0,0,rent,10000.0,debtconsolidation,12.87,0.13,4.0,647,yes,0
25,male,high school,83998.0,0,mortgage,4500.0,education,14.65,0.05,2.0,619,no,1
24,male,high school,91165.0,4,mortgage,12000.0,homeimprovement,13.49,0.13,4.0,663,no,0
22,female,associate,90906.0,0,mortgage,28000.0,venture,15.62,0.31,4.0,638,no,0
26,male,high school,90887.0,0,mortgage,15000.0,venture,8.49,0.17,3.0,672,yes,0
26,female,bachelor,90902.0,4,own,7000.0,venture,10.59,0.08,4.0,630,yes,0
21,female,bachelor,90965.0,0,mortgage,7125.0,education,9.99,0.08,4.0,598,yes,0
26,male,associate,90869.0,5,mortgage,7200.0,debtconsolidation,15.23,0.08,4.0,663,yes,0
24,female,high school,90885.0,2,mortgage,8500.0,education,6.99,0.09,3.0,598,yes,0
25,female,high school,90964.0,2,own,11000.0,medical,8.49,0.12,3.0,602,no,0
25,male,bachelor,90972.0,2,mortgage,5800.0,education,11.01,0.06,2.0,679,no,0
24,male,master,90856.0,3,own,29800.0,homeimprovement,11.01,0.33,4.0,657,no,0
23,female,bachelor,91077.0,4,mortgage,4200.0,debtconsolidation,7.49,0.05,4.0,603,yes,0
26,male,bachelor,90951.0,3,mortgage,6375.0,medical,5.99,0.07,3.0,637,no,0
25,male,bachelor,90416.0,1,mortgage,15000.0,debtconsolidation,9.99,0.17,4.0,635,yes,0
21,male,high school,91073.0,0,mortgage,14125.0,venture,10.99,0.16,2.0,651,yes,0
26,male,master,90787.0,6,mortgage,4000.0,education,12.99,0.04,2.0,685,no,0
23,male,associate,91222.0,0,mortgage,7000.0,personal,8.49,0.08,2.0,665,no,0
26,male,bachelor,91064.0,4,mortgage,12500.0,homeimprovement,5.99,0.14,2.0,588,no,0
25,female,associate,78633.0,1,rent,10000.0,homeimprovement,7.88,0.13,4.0,624,no,0
23,female,bachelor,90856.0,0,own,5000.0,personal,8.49,0.06,4.0,633,yes,0
26,female,bachelor,83796.0,3,mortgage,6200.0,homeimprovement,15.99,0.07,2.0,631,no,1
22,male,high school,83971.0,0,mortgage,10000.0,debtconsolidation,15.62,0.12,2.0,575,no,1
24,male,high school,90926.0,0,mortgage,11200.0,debtconsolidation,13.99,0.12,4.0,593,yes,0
22,male,associate,90718.0,1,mortgage,11000.0,education,5.42,0.12,2.0,651,yes,0
24,male,bachelor,78841.0,1,rent,10000.0,personal,12.42,0.13,2.0,651,no,0
26,male,doctorate,90976.0,7,mortgage,7000.0,homeimprovement,6.99,0.08,2.0,583,yes,0
26,female,master,79169.0,0,rent,10000.0,homeimprovement,14.27,0.13,4.0,621,yes,0
23,male,high school,78892.0,0,rent,10000.0,education,11.49,0.13,4.0,680,yes,0
24,male,bachelor,91125.0,0,mortgage,8000.0,medical,15.23,0.09,3.0,676,yes,0
21,male,associate,79025.0,2,rent,10000.0,education,9.99,0.13,2.0,643,yes,0
26,male,bachelor,78993.0,3,rent,10000.0,personal,7.66,0.13,3.0,725,yes,0
21,male,bachelor,91147.0,0,mortgage,9000.0,personal,5.99,0.1,4.0,574,yes,0
24,male,bachelor,78780.0,3,rent,10000.0,homeimprovement,15.65,0.13,4.0,657,no,0
22,male,master,79093.0,0,rent,10000.0,debtconsolidation,10.0,0.13,2.0,591,yes,0
26,male,bachelor,91162.0,3,mortgage,13000.0,medical,6.99,0.14,2.0,619,yes,0
26,female,high school,90852.0,6,mortgage,3500.0,venture,12.99,0.04,3.0,588,no,0
24,female,high school,90706.0,3,mortgage,7000.0,education,11.99,0.08,3.0,469,yes,0
23,male,bachelor,78674.0,1,rent,10000.0,personal,5.79,0.13,3.0,568,no,0
23,female,high school,71880.0,0,rent,10000.0,education,15.58,0.14,3.0,574,no,1
22,female,high school,78789.0,0,rent,10000.0,education,9.88,0.13,2.0,664,yes,0
22,male,bachelor,91002.0,2,mortgage,9000.0,medical,6.99,0.1,2.0,671,yes,0
23,female,bachelor,90739.0,0,mortgage,4950.0,personal,10.99,0.05,3.0,648,no,0
26,male,associate,90627.0,2,mortgage,10000.0,venture,7.49,0.11,2.0,623,yes,0
24,male,associate,91501.0,2,mortgage,19000.0,venture,11.99,0.21,3.0,555,yes,0
24,female,high school,78775.0,0,rent,10000.0,medical,10.25,0.13,3.0,574,yes,0
26,female,associate,91045.0,2,mortgage,29700.0,homeimprovement,12.99,0.33,4.0,623,yes,0
25,male,high school,78900.0,1,rent,10000.0,education,10.95,0.13,2.0,596,no,0
25,male,high school,91171.0,2,mortgage,1000.0,venture,9.99,0.01,4.0,645,yes,0
25,male,high school,79070.0,3,rent,10000.0,education,13.79,0.13,3.0,568,no,0
21,female,high school,78927.0,0,rent,10000.0,venture,13.47,0.13,3.0,619,yes,0
22,male,associate,79300.0,0,rent,10000.0,personal,9.45,0.13,3.0,693,yes,0
23,male,master,79576.0,2,rent,10000.0,debtconsolidation,11.86,0.13,3.0,691,yes,0
22,male,master,80008.0,3,rent,10000.0,venture,11.11,0.12,4.0,685,yes,0
24,male,bachelor,91071.0,5,mortgage,3000.0,education,5.42,0.03,3.0,561,yes,0
24,male,associate,91028.0,2,mortgage,12000.0,homeimprovement,5.99,0.13,2.0,663,no,0
26,female,master,79466.0,2,rent,10000.0,debtconsolidation,7.51,0.13,4.0,655,yes,0
25,male,high school,80185.0,4,rent,10000.0,debtconsolidation,8.49,0.12,2.0,609,no,0
26,male,bachelor,91063.0,1,mortgage,5000.0,education,7.66,0.05,2.0,662,yes,0
23,male,associate,79791.0,0,rent,10000.0,medical,9.32,0.13,4.0,668,yes,0
26,female,master,91068.0,7,mortgage,12000.0,homeimprovement,6.92,0.13,3.0,555,yes,0
23,male,associate,90866.0,0,own,10000.0,venture,6.92,0.11,2.0,659,no,0
25,female,high school,90926.0,6,mortgage,10000.0,debtconsolidation,10.74,0.11,4.0,542,yes,0
25,female,high school,81382.0,3,rent,10000.0,medical,13.92,0.12,3.0,631,yes,0
25,female,associate,83740.0,0,mortgage,15000.0,debtconsolidation,14.54,0.18,3.0,668,no,1
23,male,high school,91109.0,2,mortgage,12000.0,debtconsolidation,6.92,0.13,4.0,603,yes,0
24,female,bachelor,90961.0,3,mortgage,12000.0,homeimprovement,6.92,0.13,4.0,658,yes,0
24,male,associate,91163.0,4,mortgage,3000.0,homeimprovement,11.11,0.03,3.0,594,yes,0
22,female,bachelor,90982.0,2,mortgage,10600.0,education,5.79,0.12,2.0,707,yes,0
24,male,high school,81316.0,1,rent,10000.0,medical,9.64,0.12,4.0,534,no,0
24,female,bachelor,91232.0,1,mortgage,7000.0,homeimprovement,7.66,0.08,4.0,525,yes,0
21,male,high school,90923.0,3,mortgage,5400.0,education,7.29,0.06,3.0,612,yes,0
24,female,bachelor,81751.0,0,rent,10000.0,homeimprovement,16.02,0.12,2.0,630,no,0
24,male,associate,82672.0,1,rent,10000.0,venture,6.99,0.12,3.0,675,yes,0
24,male,master,82788.0,1,rent,10000.0,personal,16.02,0.12,2.0,719,yes,0
25,male,associate,90801.0,3,mortgage,12000.0,homeimprovement,7.29,0.13,3.0,643,yes,0
24,female,high school,91179.0,4,mortgage,25000.0,venture,19.74,0.27,4.0,608,yes,0
22,male,bachelor,90944.0,1,mortgage,9000.0,education,5.79,0.1,2.0,645,yes,0
25,male,bachelor,82786.0,2,rent,10000.0,debtconsolidation,14.26,0.12,4.0,646,yes,0
26,male,bachelor,82771.0,1,rent,10000.0,education,15.05,0.12,4.0,673,no,0
21,female,associate,82586.0,0,rent,10000.0,debtconsolidation,11.11,0.12,4.0,591,no,0
23,male,master,91338.0,0,mortgage,10200.0,venture,12.68,0.11,2.0,692,no,0
22,female,high school,75923.0,0,rent,10000.0,personal,11.89,0.13,3.0,658,no,1
24,male,associate,83321.0,0,rent,10000.0,debtconsolidation,6.17,0.12,4.0,510,yes,0
26,female,bachelor,76661.0,2,rent,10000.0,venture,16.4,0.13,2.0,669,no,1
25,female,high school,90701.0,3,mortgage,6000.0,personal,6.92,0.07,2.0,646,no,0
24,female,associate,84504.0,4,rent,10000.0,personal,8.38,0.12,2.0,649,no,0
22,male,high school,77789.0,0,rent,10000.0,debtconsolidation,12.69,0.13,4.0,642,no,1
23,female,high school,90996.0,1,mortgage,12000.0,education,9.62,0.13,2.0,472,yes,0
23,male,bachelor,90769.0,0,mortgage,6400.0,venture,5.42,0.07,3.0,612,yes,0
24,male,high school,85081.0,0,rent,10000.0,education,11.71,0.12,2.0,618,yes,0
21,female,high school,90823.0,0,mortgage,8550.0,education,6.91,0.09,3.0,660,no,0
22,female,associate,85027.0,0,rent,10000.0,education,12.69,0.12,4.0,664,no,0
26,male,high school,71290.0,2,mortgage,14000.0,medical,6.17,0.2,4.0,651,no,1
24,male,high school,91127.0,2,mortgage,12000.0,debtconsolidation,12.61,0.13,4.0,687,yes,0
24,female,associate,91136.0,1,own,6675.0,personal,6.54,0.07,3.0,667,no,0
22,female,associate,84948.0,0,rent,10000.0,personal,6.03,0.12,3.0,660,yes,0
25,female,bachelor,71671.0,4,mortgage,5200.0,medical,6.54,0.07,2.0,675,no,1
23,female,bachelor,77706.0,0,rent,10000.0,venture,11.01,0.13,3.0,667,no,1
23,female,associate,85104.0,2,rent,10000.0,education,11.01,0.12,3.0,652,yes,0
26,female,master,90892.0,3,mortgage,4000.0,venture,5.79,0.04,3.0,682,no,0
26,female,associate,78013.0,3,rent,10000.0,venture,16.4,0.13,3.0,606,no,1
24,male,master,90806.0,0,mortgage,11500.0,homeimprovement,5.42,0.13,2.0,611,no,0
25,female,bachelor,90709.0,4,mortgage,20000.0,venture,14.09,0.22,4.0,608,yes,0
24,male,bachelor,84916.0,0,rent,10000.0,education,7.29,0.12,4.0,681,yes,0
24,female,bachelor,83621.0,1,mortgage,25000.0,debtconsolidation,15.57,0.3,2.0,655,no,1
21,female,master,91154.0,0,mortgage,10000.0,debtconsolidation,11.01,0.11,3.0,704,yes,0
25,male,high school,90553.0,1,mortgage,1500.0,medical,6.54,0.02,4.0,649,no,0
26,female,master,91227.0,6,mortgage,9600.0,education,5.42,0.11,3.0,644,yes,0
25,male,associate,90955.0,1,mortgage,9600.0,debtconsolidation,5.42,0.11,4.0,682,no,0
25,male,bachelor,90822.0,1,mortgage,12000.0,debtconsolidation,11.01,0.13,3.0,662,yes,0
26,male,doctorate,90559.0,6,mortgage,15350.0,debtconsolidation,6.17,0.17,4.0,687,no,0
23,male,high school,84847.0,0,rent,10000.0,medical,9.99,0.12,4.0,642,no,0
23,male,master,91133.0,0,own,8000.0,education,6.17,0.09,2.0,539,yes,0
22,female,bachelor,91325.0,1,mortgage,25000.0,medical,9.25,0.27,2.0,657,yes,0
24,female,bachelor,85039.0,0,rent,10000.0,venture,16.45,0.12,2.0,633,yes,0
23,male,bachelor,91349.0,0,mortgage,7100.0,education,9.25,0.08,2.0,606,yes,0
22,male,associate,90893.0,1,mortgage,18000.0,debtconsolidation,5.79,0.2,2.0,677,yes,0
22,female,high school,91028.0,1,mortgage,19800.0,personal,15.57,0.22,2.0,645,yes,0
24,female,high school,84801.0,4,rent,10000.0,education,9.88,0.12,2.0,681,yes,0
25,male,master,85079.0,4,rent,10000.0,medical,10.95,0.12,3.0,619,yes,0
23,male,high school,84868.0,3,rent,10000.0,debtconsolidation,9.63,0.12,3.0,553,yes,0
23,male,master,77822.0,1,rent,10000.0,education,11.01,0.13,4.0,589,no,1
24,male,high school,84965.0,3,rent,10000.0,venture,12.41,0.12,2.0,584,yes,0
26,male,high school,84774.0,1,rent,10000.0,homeimprovement,9.45,0.12,3.0,580,yes,0
22,male,bachelor,85923.0,0,rent,10000.0,education,12.61,0.12,2.0,689,no,0
25,male,high school,91124.0,7,mortgage,3000.0,homeimprovement,7.51,0.03,4.0,652,yes,0
23,male,high school,86271.0,4,rent,10000.0,debtconsolidation,11.01,0.12,2.0,607,no,0
22,female,bachelor,86129.0,0,rent,10000.0,medical,7.29,0.12,2.0,674,yes,0
23,male,master,86856.0,2,rent,10000.0,education,7.51,0.12,2.0,704,yes,0
22,male,associate,90758.0,0,mortgage,9000.0,personal,7.14,0.1,2.0,601,no,0
24,female,associate,90835.0,2,mortgage,12000.0,homeimprovement,11.86,0.13,3.0,687,yes,0
26,male,bachelor,79576.0,0,rent,10000.0,education,13.55,0.13,2.0,582,no,1
23,female,bachelor,90720.0,0,mortgage,15000.0,venture,10.38,0.17,3.0,657,no,0
22,female,bachelor,87221.0,1,rent,10000.0,personal,17.27,0.11,2.0,609,yes,0
23,male,associate,91208.0,0,mortgage,5000.0,venture,11.12,0.05,3.0,537,yes,0
22,female,high school,71169.0,1,mortgage,9250.0,medical,15.21,0.13,4.0,584,no,1
26,male,bachelor,91045.0,0,own,7200.0,education,11.01,0.08,3.0,647,no,0
24,female,associate,90850.0,4,mortgage,1200.0,personal,11.49,0.01,2.0,589,yes,0
22,male,high school,90698.0,1,mortgage,15000.0,education,13.61,0.17,4.0,634,yes,0
23,female,high school,87615.0,1,rent,10000.0,personal,10.59,0.11,4.0,667,yes,0
23,male,bachelor,91026.0,2,mortgage,17000.0,venture,11.12,0.19,2.0,678,no,0
22,male,bachelor,91378.0,0,mortgage,16000.0,education,13.61,0.18,2.0,628,yes,0
25,male,bachelor,87277.0,4,rent,10000.0,venture,10.37,0.11,3.0,677,no,0
23,male,associate,87552.0,3,rent,10000.0,personal,6.91,0.11,2.0,591,yes,0
24,male,high school,91288.0,0,mortgage,5500.0,personal,11.86,0.06,4.0,545,no,0
25,male,associate,90920.0,2,mortgage,12000.0,debtconsolidation,11.49,0.13,3.0,637,no,0
26,female,bachelor,87572.0,4,rent,10000.0,debtconsolidation,5.79,0.11,3.0,645,no,0
24,female,high school,90969.0,1,mortgage,15000.0,medical,7.51,0.16,2.0,663,no,0
21,male,bachelor,91071.0,0,mortgage,25000.0,medical,11.01,0.27,2.0,638,yes,0
24,male,high school,87662.0,2,rent,10000.0,personal,11.01,0.11,4.0,658,yes,0
23,female,high school,87664.0,1,rent,10000.0,medical,13.85,0.11,3.0,661,yes,0
25,female,bachelor,87792.0,5,rent,10000.0,education,12.99,0.11,4.0,716,no,0
22,female,master,80627.0,0,rent,10000.0,venture,14.11,0.12,2.0,578,no,1
26,male,associate,88017.0,4,rent,10000.0,venture,9.96,0.11,3.0,619,no,0
23,male,associate,88245.0,0,rent,10000.0,debtconsolidation,11.48,0.11,3.0,664,no,0
25,male,bachelor,88905.0,1,rent,10000.0,medical,11.71,0.11,3.0,605,yes,0
26,female,associate,88578.0,3,rent,10000.0,personal,7.29,0.11,3.0,670,no,0
25,female,associate,88750.0,3,rent,10000.0,venture,7.88,0.11,4.0,691,yes,0
26,male,associate,91165.0,3,mortgage,6000.0,venture,14.96,0.07,3.0,708,no,0
23,male,high school,90999.0,0,mortgage,6000.0,medical,10.99,0.07,3.0,636,yes,0
24,female,high school,91143.0,2,mortgage,25000.0,venture,10.99,0.27,2.0,664,no,0
23,female,associate,83747.0,1,mortgage,15000.0,homeimprovement,14.96,0.18,2.0,606,no,1
24,male,associate,88554.0,2,rent,10000.0,personal,11.26,0.11,3.0,565,no,0
21,male,high school,90793.0,0,mortgage,20000.0,personal,13.11,0.22,2.0,595,yes,0
25,female,associate,91124.0,2,mortgage,20000.0,venture,10.62,0.22,3.0,507,yes,0
26,male,associate,90271.0,3,mortgage,10000.0,education,7.88,0.11,3.0,603,yes,0
24,male,associate,71594.0,3,rent,10000.0,medical,18.25,0.14,4.0,655,no,1
24,male,master,90832.0,1,rent,10000.0,venture,6.62,0.11,4.0,599,yes,0
25,male,associate,90786.0,3,mortgage,8000.0,medical,7.51,0.09,3.0,553,yes,0
24,male,bachelor,90861.0,3,rent,10000.0,personal,9.91,0.11,3.0,630,no,0
24,male,bachelor,90926.0,0,mortgage,5000.0,education,6.76,0.05,4.0,650,no,0
23,male,associate,91186.0,1,mortgage,11000.0,medical,13.85,0.12,2.0,524,yes,0
24,female,high school,90852.0,0,own,15000.0,education,11.01,0.17,2.0,576,yes,0
25,male,high school,91137.0,4,own,5600.0,education,10.62,0.06,2.0,657,no,0
22,female,bachelor,91111.0,0,rent,10000.0,debtconsolidation,7.51,0.11,4.0,489,yes,0
23,female,master,90906.0,0,own,12500.0,venture,15.33,0.14,3.0,667,yes,0
24,female,high school,90975.0,3,own,8500.0,personal,11.36,0.09,4.0,541,no,0
26,female,bachelor,71551.0,4,mortgage,17500.0,medical,11.01,0.24,4.0,680,no,1
23,male,bachelor,91294.0,0,rent,10000.0,personal,11.49,0.11,2.0,663,no,0
26,female,master,90841.0,2,mortgage,21000.0,debtconsolidation,11.48,0.23,4.0,645,no,0
23,female,master,71470.0,1,mortgage,5000.0,medical,8.59,0.07,3.0,667,no,1
26,male,associate,90964.0,5,rent,10000.0,education,7.49,0.11,4.0,595,yes,0
23,male,high school,91050.0,2,mortgage,8000.0,education,7.05,0.09,2.0,522,yes,0
25,female,high school,91042.0,5,rent,10000.0,personal,7.49,0.11,3.0,675,yes,0
23,female,bachelor,90935.0,0,own,20400.0,venture,7.74,0.22,4.0,616,yes,0
22,female,bachelor,90801.0,1,mortgage,24000.0,debtconsolidation,11.83,0.26,4.0,602,yes,0
23,male,high school,90514.0,0,mortgage,5400.0,personal,8.94,0.06,3.0,574,yes,0
24,female,high school,84161.0,5,rent,10000.0,personal,17.14,0.12,4.0,636,no,1
25,female,associate,90959.0,6,mortgage,8500.0,debtconsolidation,13.22,0.09,4.0,623,no,0
23,male,high school,90523.0,0,mortgage,4900.0,education,7.74,0.05,4.0,553,yes,0
24,male,high school,91135.0,0,own,9600.0,medical,8.94,0.11,3.0,578,yes,0
24,female,high school,91229.0,2,other,12000.0,homeimprovement,14.26,0.13,3.0,663,yes,0
23,male,associate,91131.0,1,mortgage,8000.0,education,8.59,0.09,2.0,604,no,0
26,male,associate,90692.0,1,rent,10000.0,homeimprovement,6.17,0.11,4.0,582,yes,0
22,female,master,91010.0,1,rent,10000.0,venture,5.79,0.11,3.0,668,yes,0
25,female,master,83755.0,1,rent,10000.0,homeimprovement,14.09,0.12,2.0,594,no,1
24,female,bachelor,90932.0,4,mortgage,25000.0,homeimprovement,11.83,0.27,2.0,528,yes,0
22,female,associate,90873.0,0,rent,10000.0,venture,6.54,0.11,4.0,586,yes,0
23,male,bachelor,90929.0,0,own,7600.0,venture,8.59,0.08,4.0,605,yes,0
26,female,associate,91034.0,3,rent,10000.0,education,15.58,0.11,2.0,522,yes,0
22,female,high school,90859.0,3,mortgage,5000.0,education,7.74,0.06,4.0,639,yes,0
23,female,associate,90475.0,0,rent,10000.0,personal,11.86,0.11,4.0,592,yes,0
26,female,bachelor,91384.0,1,rent,10000.0,homeimprovement,11.14,0.11,3.0,696,yes,0
24,male,associate,90888.0,1,mortgage,2000.0,education,8.94,0.02,4.0,582,yes,0
23,female,bachelor,90916.0,0,rent,10000.0,debtconsolidation,9.63,0.11,2.0,634,yes,0
22,male,associate,90951.0,1,mortgage,6000.0,debtconsolidation,7.74,0.07,4.0,552,yes,0
22,male,high school,71281.0,1,mortgage,25000.0,medical,14.96,0.35,2.0,648,no,1
24,male,high school,90670.0,2,own,16500.0,medical,12.18,0.18,2.0,648,yes,0
22,female,bachelor,91116.0,0,rent,10000.0,education,11.26,0.11,4.0,704,no,0
26,male,bachelor,90665.0,4,mortgage,8000.0,homeimprovement,13.92,0.09,4.0,664,yes,0
23,female,high school,90893.0,0,rent,10000.0,personal,13.47,0.11,4.0,591,yes,0
23,male,associate,92220.0,1,rent,10000.0,education,15.37,0.11,3.0,646,no,0
23,male,bachelor,91003.0,0,mortgage,4500.0,education,11.01,0.05,4.0,695,no,0
26,female,bachelor,90930.0,3,mortgage,10000.0,debtconsolidation,8.94,0.11,2.0,644,no,0
26,female,master,92502.0,3,rent,10000.0,debtconsolidation,10.71,0.11,3.0,620,yes,0
24,male,bachelor,90945.0,4,mortgage,7200.0,education,11.01,0.08,3.0,652,yes,0
24,male,associate,91117.0,0,mortgage,9000.0,medical,8.59,0.1,4.0,652,no,0
22,female,bachelor,94514.0,1,rent,10000.0,venture,12.42,0.11,2.0,563,yes,0
21,female,associate,94537.0,1,rent,10000.0,venture,5.99,0.11,2.0,622,yes,0
23,female,high school,94754.0,0,rent,10000.0,debtconsolidation,5.79,0.11,3.0,559,yes,0
23,female,bachelor,94934.0,1,rent,10000.0,education,7.49,0.11,2.0,621,no,0
26,male,bachelor,95182.0,1,rent,10000.0,medical,8.94,0.11,4.0,618,yes,0
24,male,associate,91112.0,1,mortgage,10000.0,venture,11.26,0.11,4.0,636,yes,0
24,male,bachelor,90825.0,4,mortgage,15000.0,personal,11.58,0.17,3.0,642,yes,0
26,female,associate,90829.0,7,mortgage,3000.0,homeimprovement,9.63,0.03,3.0,657,no,0
25,female,bachelor,90695.0,4,mortgage,6000.0,venture,9.63,0.07,4.0,649,yes,0
25,female,master,90903.0,0,mortgage,15000.0,debtconsolidation,9.63,0.17,3.0,640,yes,0
22,male,associate,90970.0,1,mortgage,5600.0,personal,8.0,0.06,2.0,631,no,0
22,male,high school,95923.0,0,rent,10000.0,debtconsolidation,7.88,0.1,2.0,601,no,0
22,male,bachelor,89566.0,0,rent,10000.0,personal,7.51,0.11,2.0,625,no,1
24,male,bachelor,96823.0,1,rent,10000.0,education,11.01,0.1,4.0,698,no,0
23,male,high school,90806.0,1,mortgage,3200.0,education,8.0,0.04,3.0,610,no,0
22,female,master,96831.0,1,rent,10000.0,education,14.27,0.1,2.0,520,yes,0
23,female,associate,90979.0,1,mortgage,3000.0,education,14.11,0.03,3.0,554,yes,0
23,male,high school,90816.0,0,mortgage,16800.0,medical,13.47,0.18,4.0,640,yes,0
25,female,high school,90932.0,5,mortgage,5000.0,venture,13.79,0.05,4.0,619,yes,0
23,female,bachelor,97028.0,0,rent,10000.0,personal,8.49,0.1,2.0,681,yes,0
22,female,high school,91299.0,0,mortgage,8000.0,debtconsolidation,12.21,0.09,2.0,608,yes,0
22,male,bachelor,96964.0,1,rent,10000.0,personal,8.49,0.1,4.0,560,yes,0
24,female,associate,90756.0,2,mortgage,15000.0,debtconsolidation,12.21,0.17,3.0,673,no,0
26,male,master,96823.0,3,rent,10000.0,education,8.49,0.1,4.0,563,yes,0
25,female,high school,97200.0,3,rent,10000.0,medical,10.37,0.1,2.0,662,yes,0
24,male,high school,89871.0,0,rent,10000.0,homeimprovement,14.54,0.11,2.0,660,no,1
